Metric,K_rpm_in,D0_in,Degree,Calibrated_b0,b_u,b_r,b_u2,b_ur,b_r2,LowOffset,HighOffset,Dmin_in,Dmax_in,rmin
CT,150000,12.290307,2,0.098658913512,-0.0590775,0.003441136,0.037751149,-0.000664438,0.000717175,-0.0384650928402306,0.0315759936418744,4.0,26.0,0.0266666666667
CP,150000,12.290307,2,0.0568042664291,-0.053801168,-0.034142613,0.030758658,0.011287907,0.024428234,-0.0360307790566141,0.0381314292520521,4.0,26.0,0.0266666666667
